Project Code,Target Name,RA,Dec,RA_HMS,Dec_DMS,Long Offset,Lat Offset,Velocity,Vel. Frame,Vel. Convention,Mosaic,Mos. Length,Mos. Width,Mos. PA,Mos. Spacing,Mos. Coord.,Band,Req. Ang. Res.,Req. LAS,Use 7-m?,Use TP?,Polarization,Ref.Frequency,Ref.Freq.Width,Req.Sensitivity,Is Sky Freq?,SPS Start Freq.,SPS End Freq.,SPS Bandwidth,SPS Spec. Res.,Freq SPW 1,Freq SPW 2,Freq SPW 3,Freq SPW 4,Freq SPW 5,Freq SPW 6,Freq SPW 7,Freq SPW 8,Freq SPW 9,Freq SPW 10,Freq SPW 11,Freq SPW 12,Freq SPW 13,Freq SPW 14,Freq SPW 15,Freq SPW 16,Bandwidth SPW 1,Bandwidth SPW 2,Bandwidth SPW 3,Bandwidth SPW 4,Bandwidth SPW 5,Bandwidth SPW 6,Bandwidth SPW 7,Bandwidth SPW 8,Bandwidth SPW 9,Bandwidth SPW 10,Bandwidth SPW 11,Bandwidth SPW 12,Bandwidth SPW 13,Bandwidth SPW 14,Bandwidth SPW 15,Bandwidth SPW 16,Spec.Res. SPW 1,Spec.Res. SPW 2,Spec.Res. SPW 3,Spec.Res. SPW 4,Spec.Res. SPW 5,Spec.Res. SPW 6,Spec.Res. SPW 7,Spec.Res. SPW 8,Spec.Res. SPW 9,Spec.Res. SPW 10,Spec.Res. SPW 11,Spec.Res. SPW 12,Spec.Res. SPW 13,Spec.Res. SPW 14,Spec.Res. SPW 15,Spec.Res. SPW 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS049.1,52.853,-27.84640556,3h31m24.72s,-27d50m47.1s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS051.1,52.93775,-27.74092222,3h31m45.06s,-27d44m27.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS055.1,53.25925,-27.67651389,3h33m02.22s,-27d40m35.4s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS057.1,52.96633333,-27.89085,3h31m51.92s,-27d53m27.1s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS059.2,53.26591667,-27.73838889,3h33m03.82s,-27d44m18.2s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS061.1,53.191125,-28.00648889,3h32m45.87s,-28d00m23.4s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS063.1,53.28520833,-28.01217778,3h33m08.45s,-28d00m43.8s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS065.1,53.21779167,-27.59063056,3h32m52.27s,-27d35m26.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS066.1,53.38304167,-27.90264444,3h33m31.93s,-27d54m09.5s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS067.1,53.18,-27.92065,3h32m43.20s,-27d55m14.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS068.1,53.138875,-27.65376944,3h32m33.33s,-27d39m13.6s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS069.1,52.89075,-27.99234444,3h31m33.78s,-27d59m32.4s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS070.1,52.93341667,-27.6432,3h31m44.02s,-27d38m35.5s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS071.1,53.27354167,-27.55783056,3h33m05.65s,-27d33m28.2s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS072.1,53.16833333,-27.63280833,3h32m40.40s,-27d37m58.1s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS073.1,53.12204167,-27.93880833,3h32m29.29s,-27d56m19.7s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS074.1,53.288125,-27.804775,3h33m09.15s,-27d48m17.2s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS075.1,52.86329167,-27.93092778,3h31m27.19s,-27d55m51.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
